vinculo;categoria;cargo;ano_exercicio;remuneracao_basica;vantagens_pessoais;funcao_comissionada;gratificacao_natalina;horas_extras;horas_eventuais;abono;reversao_teto;IR;INSS;falta;remuneracao_liquida;diarias;auxilios;vantagens_indenizadoras
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-29.65;-386.65;0.0;2451.66;0.0;1157.08;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-102.69;0.0;0.0;-102.69;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-29.65;-386.65;0.0;2451.66;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-102.69;0.0;0.0;-102.69;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2017;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-29.65;-386.65;0.0;2451.66;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-102.69;0.0;0.0;-102.69;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-386.65;0.0;2481.31;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-74.31;0.0;0.0;-74.31;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-386.65;0.0;2481.31;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-74.31;0.0;0.0;-74.31;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;1091.08;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
